step,time_s,vehicle_id_leader,leader_lane_pos_m,vehicle_id_follower,follower_lane_pos_m,leader_speed_mps,follower_speed_mps,gap_m,safe_dist_m,action
627,62.800,leader,253.559,follower,240.967,4.988,4.964,12.593,12.702,Leader: cruise | Follower: brake (too close)
628,62.900,leader,254.058,follower,241.448,4.983,4.810,12.610,12.381,Leader: cruise | Follower: follow
629,63.000,leader,254.556,follower,241.953,4.978,5.055,12.602,12.895,Leader: cruise | Follower: brake (too close)
630,63.100,leader,255.053,follower,242.443,4.975,4.899,12.610,12.565,Leader: cruise | Follower: follow
631,63.200,leader,255.553,follower,242.951,4.997,5.078,12.602,12.943,Leader: cruise | Follower: brake (too close)
632,63.300,leader,256.051,follower,243.443,4.980,4.921,12.608,12.612,Leader: cruise | Follower: brake (too close)
633,63.400,leader,256.547,follower,243.920,4.962,4.769,12.627,12.295,Leader: cruise | Follower: follow
634,63.500,leader,257.044,follower,244.418,4.970,4.986,12.626,12.747,Leader: cruise | Follower: brake (too close)
635,63.600,leader,257.544,follower,244.902,4.998,4.831,12.642,12.425,Leader: cruise | Follower: follow
636,63.700,leader,258.042,follower,245.406,4.980,5.042,12.636,12.866,Leader: cruise | Follower: brake (too close)
637,63.800,leader,258.539,follower,245.894,4.972,4.886,12.645,12.538,Leader: cruise | Follower: follow
638,63.900,leader,259.038,follower,246.406,4.991,5.117,12.632,13.025,Leader: cruise | Follower: brake (too close)
639,64.000,leader,259.537,follower,246.902,4.992,4.958,12.636,12.690,Leader: cruise | Follower: brake (too close)
640,64.100,leader,260.037,follower,247.382,4.999,4.805,12.655,12.370,Leader: cruise | Follower: follow
641,64.200,leader,260.532,follower,247.882,4.950,5.001,12.650,12.779,Leader: cruise | Follower: brake (too close)
642,64.300,leader,261.031,follower,248.367,4.991,4.846,12.664,12.455,Leader: cruise | Follower: follow
643,64.400,leader,261.528,follower,248.872,4.967,5.052,12.656,12.887,Leader: cruise | Follower: brake (too close)
644,64.500,leader,262.027,follower,249.362,4.992,4.895,12.666,12.558,Leader: cruise | Follower: follow
645,64.600,leader,262.525,follower,249.871,4.981,5.093,12.655,12.974,Leader: cruise | Follower: brake (too close)
646,64.700,leader,263.021,follower,250.364,4.956,4.935,12.657,12.641,Leader: cruise | Follower: follow
647,64.800,leader,263.517,follower,250.879,4.956,5.145,12.638,13.087,Leader: cruise | Follower: brake (too close)
648,64.900,leader,264.013,follower,251.377,4.960,4.986,12.635,12.748,Leader: cruise | Follower: brake (too close)
649,65.000,leader,264.508,follower,251.861,4.951,4.832,12.647,12.425,Leader: cruise | Follower: follow
650,65.100,leader,265.004,follower,252.370,4.963,5.097,12.634,12.984,Leader: cruise | Follower: brake (too close)
651,65.200,leader,265.500,follower,252.864,4.955,4.939,12.635,12.650,Leader: cruise | Follower: brake (too close)
652,65.300,leader,265.999,follower,253.343,4.999,4.786,12.656,12.332,Leader: cruise | Follower: follow
653,65.400,leader,266.497,follower,253.850,4.980,5.075,12.647,12.936,Leader: cruise | Follower: brake (too close)
654,65.500,leader,266.996,follower,254.342,4.983,4.918,12.653,12.605,Leader: cruise | Follower: follow
655,65.600,leader,267.491,follower,254.855,4.959,5.124,12.637,13.041,Leader: cruise | Follower: brake (too close)
656,65.700,leader,267.991,follower,255.351,4.991,4.965,12.640,12.705,Leader: cruise | Follower: brake (too close)
657,65.800,leader,268.489,follower,255.832,4.988,4.812,12.657,12.384,Leader: cruise | Follower: follow
658,65.900,leader,268.987,follower,256.337,4.980,5.046,12.651,12.874,Leader: cruise | Follower: brake (too close)
659,66.000,leader,269.483,follower,256.826,4.957,4.889,12.657,12.546,Leader: cruise | Follower: follow
660,66.100,leader,269.981,follower,257.335,4.978,5.097,12.646,12.983,Leader: cruise | Follower: brake (too close)
661,66.200,leader,270.478,follower,257.829,4.975,4.939,12.649,12.650,Leader: cruise | Follower: brake (too close)
662,66.300,leader,270.976,follower,258.308,4.971,4.786,12.668,12.332,Leader: cruise | Follower: follow
663,66.400,leader,271.474,follower,258.809,4.987,5.013,12.665,12.805,Leader: cruise | Follower: brake (too close)
664,66.500,leader,271.972,follower,259.295,4.978,4.858,12.677,12.480,Leader: cruise | Follower: follow
665,66.600,leader,272.469,follower,259.797,4.971,5.024,12.672,12.829,Leader: cruise | Follower: brake (too close)
666,66.700,leader,272.968,follower,260.284,4.988,4.869,12.684,12.503,Leader: cruise | Follower: follow
667,66.800,leader,273.463,follower,260.791,4.951,5.067,12.672,12.919,Leader: cruise | Follower: brake (too close)
668,66.900,leader,273.961,follower,261.282,4.980,4.910,12.679,12.588,Leader: cruise | Follower: follow
669,67.000,leader,274.459,follower,261.794,4.983,5.116,12.666,13.025,Leader: cruise | Follower: brake (too close)
670,67.100,leader,274.956,follower,262.289,4.971,4.958,12.667,12.689,Leader: cruise | Follower: brake (too close)
671,67.200,leader,275.454,follower,262.770,4.981,4.805,12.685,12.369,Leader: cruise | Follower: follow
672,67.300,leader,275.952,follower,263.280,4.975,5.098,12.672,12.986,Leader: cruise | Follower: brake (too close)
673,67.400,leader,276.451,follower,263.774,4.993,4.940,12.678,12.652,Leader: cruise | Follower: follow
674,67.500,leader,276.948,follower,264.296,4.967,5.226,12.652,13.260,Leader: cruise | Follower: brake (too close)
675,67.600,leader,277.447,follower,264.803,4.992,5.064,12.644,12.913,Leader: cruise | Follower: brake (too close)
