step,time_s,vehicle_id,lane_pos_m,speed_mps,leader_of_this_vehicle,gap_to_leader_m,safe_dist_m,action
137,13.800,leader,57.493,4.956,,,12.686,leader_state:normal
137,13.800,follower_01,44.896,5.020,leader,12.597,12.820,brake (too close to leader)
137,13.800,follower_02,32.513,4.823,follower_01,12.383,12.409,brake (too close to follower_01)
137,13.800,follower_03,20.697,4.531,follower_02,11.816,11.811,follow
137,13.800,follower_04,9.728,4.074,follower_03,10.970,10.918,follow
138,13.900,leader,57.991,4.971,,,12.718,leader_state:normal
138,13.900,follower_01,45.382,4.864,leader,12.608,12.494,follow
138,13.900,follower_02,32.981,4.674,follower_01,12.402,12.102,follow
138,13.900,follower_03,21.168,4.705,follower_02,11.813,12.164,brake (too close to follower_02)
138,13.900,follower_04,10.135,4.078,follower_03,11.032,10.926,follow
139,14.000,leader,58.490,4.998,,,12.774,leader_state:normal
139,14.000,follower_01,45.897,5.143,leader,12.594,13.083,brake (too close to leader)
139,14.000,follower_02,33.477,4.966,follower_01,12.420,12.707,brake (too close to follower_01)
139,14.000,follower_03,21.624,4.559,follower_02,11.854,11.868,brake (too close to follower_02)
139,14.000,follower_04,10.552,4.166,follower_03,11.072,11.094,brake (too close to follower_03)
140,14.100,leader,58.987,4.968,,,12.710,leader_state:normal
140,14.100,follower_01,46.395,4.984,leader,12.592,12.745,brake (too close to leader)
140,14.100,follower_02,33.959,4.813,follower_01,12.437,12.386,follow
140,14.100,follower_03,22.065,4.418,follower_02,11.893,11.586,follow
140,14.100,follower_04,10.956,4.037,follower_03,11.110,10.848,follow
141,14.200,leader,59.483,4.961,,,12.695,leader_state:normal
141,14.200,follower_01,46.878,4.830,leader,12.605,12.422,follow
141,14.200,follower_02,34.463,5.049,follower_01,12.415,12.881,brake (too close to follower_01)
141,14.200,follower_03,22.531,4.654,follower_02,11.933,12.060,brake (too close to follower_02)
141,14.200,follower_04,11.372,4.158,follower_03,11.159,11.079,follow
142,14.300,leader,59.981,4.974,,,12.723,leader_state:normal
142,14.300,follower_01,47.383,5.048,leader,12.597,12.880,brake (too close to leader)
